iou,mse,ssim
0.9184549356223176,0.0010790976230055094,0.9854818118175706
0.7494877049180327,0.011000165715813637,0.8804108931473227
0.9467680608365019,0.0019650941248983145,0.9763792484632752
0.9683631361760661,0.0005616923444904387,0.9923037023510841
0.9725158562367865,0.000431207095971331,0.9922478092715201
0.8634651600753296,0.006685631815344095,0.9485433971014554
0.8284671532846716,0.0010147638386115432,0.9742550872493054
0.9491978609625669,0.0021594492718577385,0.9842896892226647
0.9360365505425471,0.0027502074372023344,0.9758480089462953
0.8628571428571429,0.004453760106116533,0.941176656879851
0.8688925081433225,0.0036807721480727196,0.9547155784491222
0.9431438127090301,0.00040745074511505663,0.987142071057225
0.9285714285714286,0.0005619449657388031,0.9917947082102702
0.958080674927498,0.003821004880592227,0.9755698049058645
0.9812792511700468,0.0003861887089442462,0.9954071870413622
0.9448584202682563,0.0009258479694835842,0.9856654867167309
0.9003083247687564,0.0021937175188213587,0.9783608472413426
0.9347319347319347,0.0014121897984296083,0.9845015530941306
0.8633288227334236,0.0023154302034527063,0.9533837485756094
1.0,7.269526395248249e-05,0.9960363264453271
0.987522824102252,0.0013615053612738848,0.9909459361658469
0.9850909090909091,0.0009654195746406913,0.9930720935515653
0.9384707287933094,0.002368082059547305,0.9780416118527335
0.9931571944497244,0.0010527799604460597,0.9861977255214721
0.9593023255813954,0.0008853531908243895,0.9871870487538832
0.9947582993593477,0.0010609286837279797,0.9838250760395122
0.8793774319066148,0.001529618981294334,0.9756850904695413
0.9011461318051576,0.003248069202527404,0.9501356949296726
0.7930258717660292,0.004117869772017002,0.9630135545266756
0.9385875127942682,0.00304803648032248,0.9743181879405585
0.9292035398230089,0.0008177217096090317,0.9878811324102191
0.7935222672064778,0.009324547834694386,0.9126831431515945
0.9936684817019121,0.0013678626855835319,0.9838507507332456
0.6752136752136753,0.007506984286010265,0.8920282891216662
0.9692737430167597,0.001264168182387948,0.987860540076504
0.8671875,0.003488649846985936,0.967916038493981
0.9046840958605664,0.004175873007625341,0.970290411816544
0.8893581081081081,0.0033693525474518538,0.9631983123415596
0.92970946579194,0.0019383400212973356,0.9776536288290867
0.9104627766599598,0.004317016340792179,0.9635398639532106
0.9973451327433628,0.0002586356131359935,0.9957378639265824
0.7483781278962002,0.01243274100124836,0.9082755335485422
0.9671132764920828,0.0009204709785990417,0.991339221094528
0.9432709716354858,0.0022853026166558266,0.9788863399677293
